proposal_id,proposal_title,country,Investigators,observation_band,total_hrs_requested,reviewer1,reviewer1_score,reviewer2,reviewer2_score,reviewer3,reviewer3_score,total_hrs_recommended
prop-036,The highest-redshift galaxies in the G4Jy Sample,France,"{""pi"": {""pi_fullname"": ""Alec Dotson"", ""pi_country"": ""France""}, ""tech_lead"": {""tech_lead_fullname"": ""Ashwin Barker"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Jakob Elliott"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Herbie Lin"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Daniyal Gonzales"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Honey Campos"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Blaine Hansen"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Cian Santana"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Fatimah Cruz"", ""co_pi_country"": ""France"", ""is_student"": false}]}",X-Band,13.00,D. Piraino,9.1,K. Angioli,8.6,P. Roosevelt,8.2,13.00
prop-037,Exo-space Weather on Late-type Stars: Impacts on Habitability of Exo-planets,Switzerland,"{""pi"": {""pi_fullname"": ""Clementine Golden"", ""pi_country"": ""Switzerland""}, ""tech_lead"": {""tech_lead_fullname"": ""Bailey David"", ""tech_lead_country"": ""Canada""}, ""co_pis"": [{""co_pi_fullname"": ""Herbert Padilla"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}]}",UHF,12.00,D. Piraino,6.4,N. Katou,5.8,P. Roosevelt,8.3,12.00
prop-038,Looking for Low Column Density HI with MeerKAT & FAST: NGC 3521,Australia,"{""pi"": {""pi_fullname"": ""Seth Curtis"", ""pi_country"": ""Australia""}, ""tech_lead"": {""tech_lead_fullname"": ""Jennie Newton"", ""tech_lead_country"": ""Canada""}, ""co_pis"": [{""co_pi_fullname"": ""Elaine Jimenez"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Kieran Crane"", ""co_pi_country"": ""Australia"", ""is_student"": false}]}",UHF,12.00,P. Fuentes,5.5,P. Roosevelt,5.1,P. Norton,5.1,9.00
prop-039,MeerKAT spins the Cosmic Web: Mapping a local nexus of galaxy filaments,South Africa,"{""pi"": {""pi_fullname"": ""Adelaide Villarreal"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Tasneem Blake"", ""tech_lead_country"": ""Germany""}, ""co_pis"": [{""co_pi_fullname"": ""Olivia Moreno"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Bertha Lopez"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Alice Conner"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Isra Rhodes"", ""co_pi_country"": ""South Africa"", ""is_student"": false}]}",UHF,50.00,K. Angioli,7.2,P. Fuentes,8.3,N. Katou,7.2,45.00
prop-040,Radio study of X-ray emitting stars with MeerKAT,India,"{""pi"": {""pi_fullname"": ""Maisy Dejesus"", ""pi_country"": ""India""}, ""tech_lead"": {""tech_lead_fullname"": ""Eddie O'Connor"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Eddie O'Connor"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Sebastien Singleton"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Silas Stein"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Maximillian Walker"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Kieran Crane"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Effie Fitzpatrick"", ""co_pi_country"": ""India"", ""is_student"": false}]}",X-Band,44.50,P. Roosevelt,9.1,N. Katou,6.3,A. Li,6.2,44.50
prop-041,"A Complete Picture of Gas, Dust, and Stars in Six of the Best-Studied MeerKAT-Visible Galaxies",Portugal,"{""pi"": {""pi_fullname"": ""Sebastian Knapp"", ""pi_country"": ""Portugal""}, ""tech_lead"": {""tech_lead_fullname"": ""Christine Joyce"", ""tech_lead_country"": ""Netherlands""}, ""co_pis"": [{""co_pi_fullname"": ""Andrew Kane"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Maia Mccoy"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Brandon Vance"", ""co_pi_country"": ""Portugal"", ""is_student"": false}]}",S-Band,48.00,N. Katou,4.6,P. Roosevelt,9.9,P. Norton,9.5,48.00
prop-042,Observations of Dwarf Galaxies with Very Extended HI Disks,Sweden,"{""pi"": {""pi_fullname"": ""Connie Gallagher"", ""pi_country"": ""Sweden""}, ""tech_lead"": {""tech_lead_fullname"": ""Herbie Lin"", ""tech_lead_country"": ""Spain""}, ""co_pis"": [{""co_pi_fullname"": ""Laurence Reid"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Nicolas Rice"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Mikey Saunders"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Seth Curtis"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Eugene Brock"", ""co_pi_country"": ""Sweden"", ""is_student"": false}]}",X-Band,36.00,K. Angioli,9.5,P. Norton,5.9,C. Maas,9.8,36.00
prop-043,TailSpin: MeerKAT observations of a diffuse cluster source in ATLBS fields,Portugal,"{""pi"": {""pi_fullname"": ""Ashwin Barker"", ""pi_country"": ""Portugal""}, ""tech_lead"": {""tech_lead_fullname"": ""Effie Fitzpatrick"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Daniyal Gonzales"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Brandon Vance"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Connie Gallagher"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Imran Rubio"", ""co_pi_country"": ""Portugal"", ""is_student"": false}]}",S-Band,2.75,P. Fuentes,8.5,D. Piraino,9.1,C. Maas,5.6,2.00
prop-044,Probing Gamma-Ray Burst Physics with MeerKAT,Sweden,"{""pi"": {""pi_fullname"": ""Abdulrahman Blanchard"", ""pi_country"": ""Sweden""}, ""tech_lead"": {""tech_lead_fullname"": ""Cian Santana"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Lochlan Mack"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Blaine Hansen"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Alice Conner"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Harri Carlson"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Nana Shepard"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Marshall Lester"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Clementine Golden"", ""co_pi_country"": ""Sweden"", ""is_student"": false}]}",S-Band,42.00,D. Piraino,9.4,A. Li,6.1,C. Maas,6.2,42.00
prop-045,A HI absorption search towards the brightest G4Jy sources,Portugal,"{""pi"": {""pi_fullname"": ""Sebastian Knapp"", ""pi_country"": ""Portugal""}, ""tech_lead"": {""tech_lead_fullname"": ""Hasan Phillips"", ""tech_lead_country"": ""Netherlands""}, ""co_pis"": [{""co_pi_fullname"": ""Tamsin Pugh"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Harri Carlson"", ""co_pi_country"": ""Portugal"", ""is_student"": false}]}",X-Band,50.00,P. Norton,5.1,N. Katou,6.3,P. Fuentes,6.9,50.00
prop-046,Searching for Auroral Emission in Exoplanetary Systems,Ghana,"{""pi"": {""pi_fullname"": ""Keane Randall"", ""pi_country"": ""Ghana""}, ""tech_lead"": {""tech_lead_fullname"": ""Eddie O'Connor"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Tilly Yoder"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Alice Conner"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Connie Gallagher"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Jakob Elliott"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Priya Cannon"", ""co_pi_country"": ""Ghana"", ""is_student"": false}]}",S-Band,55.00,C. Maas,8.3,A. Li,8,D. Piraino,9.1,41.25
prop-047,Mapping tidal interactions in nearby galaxy groups,Switzerland,"{""pi"": {""pi_fullname"": ""Susie Watkins"", ""pi_country"": ""Switzerland""}, ""tech_lead"": {""tech_lead_fullname"": ""Zaki Harrington"", ""tech_lead_country"": ""China""}, ""co_pis"": [{""co_pi_fullname"": ""Alys Wright"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Olivia Moreno"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}]}",UHF,36.00,K. Angioli,6.7,P. Norton,9.4,A. Li,8.8,32.00
prop-048,Stuck in the trap: finding synchrotron pair halos around pulsars,Australia,"{""pi"": {""pi_fullname"": ""Tilly Yoder"", ""pi_country"": ""Australia""}, ""tech_lead"": {""tech_lead_fullname"": ""Ben Stone"", ""tech_lead_country"": ""India""}, ""co_pis"": [{""co_pi_fullname"": ""Janice Mcgowan"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Wiktor Church"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Daniyal Gonzales"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Abel Contreras"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Janice Mcgowan"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Dawson Warren"", ""co_pi_country"": ""Australia"", ""is_student"": false}]}",X-Band,24.50,A. Li,7.8,N. Katou,7.4,D. Piraino,8.1,24.50
prop-049,MeerChoirs: Effects of Group Environment on Galaxy Evolution,Ghana,"{""pi"": {""pi_fullname"": ""Brandon Vance"", ""pi_country"": ""Ghana""}, ""tech_lead"": {""tech_lead_fullname"": ""Tommy Murray"", ""tech_lead_country"": ""Switzerland""}, ""co_pis"": []}",L-Band,36.00,P. Norton,6,A. Li,9.7,D. Piraino,7.9,36.00
prop-050,Chance discovery of two radio galaxies with previously-unknown extended emission,United Kingdom,"{""pi"": {""pi_fullname"": ""Mikey Saunders"", ""pi_country"": ""United Kingdom""}, ""tech_lead"": {""tech_lead_fullname"": ""Alfie Higgins"", ""tech_lead_country"": ""China""}, ""co_pis"": [{""co_pi_fullname"": ""Seth Curtis"", ""co_pi_country"": ""United Kingdom"", ""is_student"": false}]}",X-Band,9.00,P. Norton,6.9,K. Angioli,5.1,P. Roosevelt,5.1,9.00
prop-051,Using MeerKAT for mapping cosmic shear and searching for cosmic birefringence,India,"{""pi"": {""pi_fullname"": ""Ben Stone"", ""pi_country"": ""India""}, ""tech_lead"": {""tech_lead_fullname"": ""Pedro Parsons"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Cecilia Hutchinson"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Fatimah Cruz"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Wiktor Church"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Clementine Golden"", ""co_pi_country"": ""India"", ""is_student"": false}]}",UHF,11.00,P. Norton,9.1,P. Fuentes,6.7,P. Roosevelt,7.9,11.00
prop-052,Exploring new regimes in particle acceleration physics: the galaxy cluster pair Abell 141,China,"{""pi"": {""pi_fullname"": ""Zaki Harrington"", ""pi_country"": ""China""}, ""tech_lead"": {""tech_lead_fullname"": ""Bailey David"", ""tech_lead_country"": ""Canada""}, ""co_pis"": [{""co_pi_fullname"": ""Silas Stein"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Tabitha Lamb"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Andrew Kane"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Sebastien Singleton"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Emilio Garza"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Gregory Leach"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Wiktor Church"", ""co_pi_country"": ""China"", ""is_student"": false}]}",X-Band,10.00,P. Roosevelt,7,K. Angioli,9.6,P. Norton,7.7,10.00
prop-053,Searching for evidence of galactic winds in Centaurus A,Canada,"{""pi"": {""pi_fullname"": ""Asa Chen"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Abel Contreras"", ""tech_lead_country"": ""South Africa""}, ""co_pis"": [{""co_pi_fullname"": ""Ben Stone"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Alice Conner"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Bruce Bullock"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",X-Band,24.00,P. Roosevelt,9.9,A. Li,6.5,N. Katou,6.7,24.00
prop-054,Exploring the large scale environment and star formation properties of the Spiderweb proto-cluster at z = 2.17 with MeerKAT,Switzerland,"{""pi"": {""pi_fullname"": ""Susie Watkins"", ""pi_country"": ""Switzerland""}, ""tech_lead"": {""tech_lead_fullname"": ""Abdulrahman Blanchard"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Priya Cannon"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Cecilia Hutchinson"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Stuart Farrell"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Herbert Padilla"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Janice Mcgowan"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}]}",UHF,24.00,C. Maas,5.3,D. Piraino,7.6,A. Li,5.6,24.00
prop-055,Multi-wavelength Real-time Fast Transients with MeerKAT,China,"{""pi"": {""pi_fullname"": ""Zaki Harrington"", ""pi_country"": ""China""}, ""tech_lead"": {""tech_lead_fullname"": ""Wiktor Church"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Bailey David"", ""co_pi_country"": ""China"", ""is_student"": false}]}",X-Band,34.00,N. Katou,7.9,A. Li,7.1,P. Fuentes,5.9,27.25
prop-056,MeerKAT - uGMRT Combined Survey of the Saraswati Supercluster: Towards the SKA,Spain,"{""pi"": {""pi_fullname"": ""Silas Stein"", ""pi_country"": ""Spain""}, ""tech_lead"": {""tech_lead_fullname"": ""Asa Chen"", ""tech_lead_country"": ""Canada""}, ""co_pis"": [{""co_pi_fullname"": ""Omari Winters"", ""co_pi_country"": ""Spain"", ""is_student"": false}]}",UHF,82.00,K. Angioli,8.1,A. Li,9.7,N. Katou,9.1,65.50
prop-057,Neutral Hydrogen emission at z = 0.654 in a strongly-lensed quasar,Canada,"{""pi"": {""pi_fullname"": ""Bailey David"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Cecilia Hutchinson"", ""tech_lead_country"": ""South Africa""}, ""co_pis"": [{""co_pi_fullname"": ""Nicolas Rice"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Imran Rubio"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Maisy Dejesus"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Ayah Escobar"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",X-Band,10.50,P. Fuentes,7.7,P. Roosevelt,6.3,P. Norton,7.9,10.50
prop-058,An X/S of rare radio morphologies?,Netherlands,"{""pi"": {""pi_fullname"": ""Alice Conner"", ""pi_country"": ""Netherlands""}, ""tech_lead"": {""tech_lead_fullname"": ""Andrew Kane"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Tabitha Lamb"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Abraham Beasley"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Agnes Lambert"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Tommy Murray"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}]}",S-Band,68.50,C. Maas,9,P. Roosevelt,9.7,K. Angioli,7.6,68.50
prop-059,Ultra faint central region of galaxy NGC 1350,South Africa,"{""pi"": {""pi_fullname"": ""Abraham Beasley"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Pedro Parsons"", ""tech_lead_country"": ""Australia""}, ""co_pis"": []}",X-Band,5.00,N. Katou,8.6,A. Li,8.1,C. Maas,6.9,5.00
prop-060,HI study of ultra-diffuse galaxies and galaxy evolution in the central region of Hydra I,Canada,"{""pi"": {""pi_fullname"": ""Bailey David"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Sebastien Singleton"", ""tech_lead_country"": ""Spain""}, ""co_pis"": [{""co_pi_fullname"": ""Agnes Lambert"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Tommy Murray"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",X-Band,12.00,K. Angioli,4.6,P. Norton,4.7,P. Fuentes,6.5,10.75
prop-061,Low frequency follow-up of giant radio galaxies that shouldn't exist!,Ghana,"{""pi"": {""pi_fullname"": ""Martina Bloggs"", ""pi_country"": ""Ghana""}, ""tech_lead"": {""tech_lead_fullname"": ""Harri Carlson"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Mollie Campbell"", ""co_pi_country"": ""Ghana"", ""is_student"": false}]}",X-Band,8.00,D. Piraino,9.3,P. Fuentes,5.7,C. Maas,8.5,8.00
prop-062,MeerKAT deep observation of the X-ray filament,Ghana,"{""pi"": {""pi_fullname"": ""Keane Randall"", ""pi_country"": ""Ghana""}, ""tech_lead"": {""tech_lead_fullname"": ""Priya Cannon"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Fatimah Cruz"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Jakob Elliott"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Omari Winters"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Zakir Strong"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Kara Trujillo"", ""co_pi_country"": ""Ghana"", ""is_student"": false}]}",L-Band,16.00,P. Norton,6.2,P. Fuentes,5.8,N. Katou,9,12.75
prop-063,Low-frequency MeerKAT deep observation of the X-ray filament,Australia,"{""pi"": {""pi_fullname"": ""Eddie O'Connor"", ""pi_country"": ""Australia""}, ""tech_lead"": {""tech_lead_fullname"": ""Alec Dotson"", ""tech_lead_country"": ""France""}, ""co_pis"": [{""co_pi_fullname"": ""Susie Watkins"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Adelaide Villarreal"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Bertha Lopez"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Ridwan Torres"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Amanda Bush"", ""co_pi_country"": ""Australia"", ""is_student"": false}, {""co_pi_fullname"": ""Tasneem Blake"", ""co_pi_country"": ""Australia"", ""is_student"": false}]}",UHF,12.00,P. Roosevelt,6.8,P. Norton,7.2,N. Katou,7.7,10.00
prop-064,Indirect dark matter detection in dwarf galaxies,Italy,"{""pi"": {""pi_fullname"": ""Nicolas Rice"", ""pi_country"": ""Italy""}, ""tech_lead"": {""tech_lead_fullname"": ""Priya Cannon"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Marshall Lester"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Maisy Dejesus"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Amanda Bush"", ""co_pi_country"": ""Italy"", ""is_student"": false}]}",X-Band,70.00,K. Angioli,8.3,P. Fuentes,5.4,D. Piraino,7.3,70.00
prop-065,Search for neutral Hi gas at Z~ 0.5 with the MeerKat,Germany,"{""pi"": {""pi_fullname"": ""Eugene Brock"", ""pi_country"": ""Germany""}, ""tech_lead"": {""tech_lead_fullname"": ""Eddie O'Connor"", ""tech_lead_country"": ""Australia""}, ""co_pis"": []}",UHF,19.00,P. Roosevelt,5.4,K. Angioli,5.8,A. Li,5.1,19.00
prop-066,High redshift HI observations and a radio halo in Abell 370,Italy,"{""pi"": {""pi_fullname"": ""Nana Shepard"", ""pi_country"": ""Italy""}, ""tech_lead"": {""tech_lead_fullname"": ""Maia Mccoy"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Wiktor Church"", ""co_pi_country"": ""Italy"", ""is_student"": false}]}",UHF,12.00,P. Norton,4.8,P. Roosevelt,6.3,C. Maas,8.2,9.50
prop-067,MeerKAT observations of giant low surface brightness galaxies,South Africa,"{""pi"": {""pi_fullname"": ""Aysha Whitaker"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Jakob Elliott"", ""tech_lead_country"": ""Spain""}, ""co_pis"": [{""co_pi_fullname"": ""Kabir Charles"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Jakob Elliott"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Alys Wright"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Tabitha Lamb"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Herbie Lin"", ""co_pi_country"": ""South Africa"", ""is_student"": false}]}",X-Band,49.50,D. Piraino,7.1,P. Roosevelt,9.3,P. Norton,6.6,49.50
prop-068,Probing star-planet interaction in the Proxima - Proxima b system with MeerKAT,Switzerland,"{""pi"": {""pi_fullname"": ""Susie Watkins"", ""pi_country"": ""Switzerland""}, ""tech_lead"": {""tech_lead_fullname"": ""Amina Edwards"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Maisy Dejesus"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Eugene Brock"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Arron Simpson"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Maximillian Walker"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Agnes Lambert"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Kylie Logan"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}]}",L-Band,18.00,A. Li,8.6,K. Angioli,6.9,D. Piraino,9.5,16.25
prop-069,CATCHING CLUES OF THE ENERGY TRANSPORT BY JET/WINDSIN THE NORTH TRANSITION REGION OF CENTAURUS A,Spain,"{""pi"": {""pi_fullname"": ""Jakob Elliott"", ""pi_country"": ""Spain""}, ""tech_lead"": {""tech_lead_fullname"": ""Cian Santana"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Wayne Palmer"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Bailey David"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Bruce Bullock"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Tommy Murray"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Susie Watkins"", ""co_pi_country"": ""Spain"", ""is_student"": false}]}",UHF,9.00,P. Fuentes,8.2,D. Piraino,9.9,N. Katou,5.4,9.00
prop-070,Investigating gamma-ray emitting radio galaxies,Italy,"{""pi"": {""pi_fullname"": ""Nicolas Rice"", ""pi_country"": ""Italy""}, ""tech_lead"": {""tech_lead_fullname"": ""Olivia Moreno"", ""tech_lead_country"": ""Germany""}, ""co_pis"": [{""co_pi_fullname"": ""Sebastien Singleton"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Nicolas Rice"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Zakir Strong"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Sebastien Singleton"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Hasan Phillips"", ""co_pi_country"": ""Italy"", ""is_student"": false}]}",UHF,4.00,P. Roosevelt,9.4,D. Piraino,5.9,C. Maas,9.1,3.00
prop-071,Investigating the properties of localised Fast Radio Bursts and their host galaxies,Portugal,"{""pi"": {""pi_fullname"": ""Wiktor Church"", ""pi_country"": ""Portugal""}, ""tech_lead"": {""tech_lead_fullname"": ""Adelaide Villarreal"", ""tech_lead_country"": ""South Africa""}, ""co_pis"": [{""co_pi_fullname"": ""Aysha Whitaker"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Jennie Newton"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Kabir Charles"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Omari Winters"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Gwen Stuart"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Elaine Jimenez"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Abraham Beasley"", ""co_pi_country"": ""Portugal"", ""is_student"": false}]}",S-Band,49.00,K. Angioli,6.5,P. Roosevelt,7.7,A. Li,5.5,49.00
